都道府県名,市区町村名,市区町村名カナ
北海道,札幌市中央区,サッポロシチュウオウク
北海道,札幌市北区,サッポロシキタク
北海道,札幌市東区,サッポロシヒガシク
北海道,札幌市白石区,サッポロシシロイシク
北海道,札幌市豊平区,サッポロシトヨヒラク
北海道,札幌市南区,サッポロシミナミク
北海道,札幌市西区,サッポロシニシク
北海道,札幌市厚別区,サッポロシアツベツク
北海道,札幌市手稲区,サッポロシテイネク
北海道,札幌市清田区,サッポロシキヨタク
北海道,函館市,ハコダテシ
北海道,小樽市,オタルシ
北海道,旭川市,アサヒカワシ
北海道,室蘭市,ムロランシ
北海道,釧路市,クシロシ
北海道,帯広市,オビヒロシ
北海道,北見市,キタミシ
北海道,夕張市,ユウバリシ
北海道,岩見沢市,イワミザワシ
北海道,網走市,アバシリシ
北海道,留萌市,ルモイシ
北海道,苫小牧市,トマコマイシ
北海道,稚内市,ワッカナイシ
北海道,美唄市,ビバイシ
北海道,芦別市,アシベツシ
北海道,江別市,エベツシ
北海道,赤平市,アカビラシ
北海道,紋別市,モンベツシ
北海道,士別市,シベツシ
北海道,名寄市,ナヨロシ
北海道,三笠市,ミカサシ
北海道,根室市,ネムロシ
北海道,千歳市,チトセシ
北海道,滝川市,タキカワシ
北海道,砂川市,スナガワシ
北海道,歌志内市,ウタシナイシ
北海道,深川市,フカガワシ
北海道,富良野市,フラノシ
北海道,登別市,ノボリベツシ
北海道,恵庭市,エニワシ
北海道,伊達市,ダテシ
北海道,北広島市,キタヒロシマシ
北海道,石狩市,イシカリシ
北海道,北斗市,ホクトシ
北海道,石狩郡当別町,イシカリグントウベツチョウ
北海道,石狩郡新篠津村,イシカリグンシンシノツムラ
北海道,松前郡松前町,マツマエグンマツマエチョウ
北海道,松前郡福島町,マツマエグンフクシマチョウ
北海道,上磯郡知内町,カミイソグンシリウチチョウ
北海道,上磯郡木古内町,カミイソグンキコナイチョウ
北海道,亀田郡七飯町,カメダグンナナエチョウ
北海道,茅部郡鹿部町,カヤベグンシカベチョウ
北海道,茅部郡森町,カヤベグンモリマチ
北海道,二海郡八雲町,フタミグンヤクモチョウ
北海道,山越郡長万部町,ヤマコシグンオシャマンベチョウ
北海道,檜山郡江差町,ヒヤマグンエサシチョウ
北海道,檜山郡上ノ国町,ヒヤマグンカミノクニチョウ
北海道,檜山郡厚沢部町,ヒヤマグンアッサブチョウ
北海道,爾志郡乙部町,ニシグンオトベチョウ
北海道,奥尻郡奥尻町,オクシリグンオクシリチョウ
北海道,瀬棚郡今金町,セタナグンイマカネチョウ
北海道,久遠郡せたな町,クドウグンセタナチョウ
北海道,島牧郡島牧村,シママキグンシママキムラ
北海道,寿都郡寿都町,スッツグンスッツチョウ
北海道,寿都郡黒松内町,スッツグンクロマツナイチョウ
北海道,磯谷郡蘭越町,イソヤグンランコシチョウ
北海道,虻田郡ニセコ町,アブタグンニセコチョウ
北海道,虻田郡真狩村,アブタグンマッカリムラ
北海道,虻田郡留寿都村,アブタグンルスツムラ
北海道,虻田郡喜茂別町,アブタグンキモベツチョウ
北海道,虻田郡京極町,アブタグンキョウゴクチョウ
北海道,虻田郡倶知安町,アブタグンクッチャンチョウ
北海道,岩内郡共和町,イワナイグンキョウワチョウ
北海道,岩内郡岩内町,イワナイグンイワナイチョウ
北海道,古宇郡泊村,フルウグントマリムラ
北海道,古宇郡神恵内村,フルウグンカモエナイムラ
北海道,積丹郡積丹町,シャコタングンシャコタンチョウ
北海道,古平郡古平町,フルビラグンフルビラチョウ
北海道,余市郡仁木町,ヨイチグンニキチョウ
北海道,余市郡余市町,ヨイチグンヨイチチョウ
北海道,余市郡赤井川村,ヨイチグンアカイガワムラ
北海道,空知郡南幌町,ソラチグンナンポロチョウ
北海道,空知郡奈井江町,ソラチグンナイエチョウ
北海道,空知郡上砂川町,ソラチグンカミスナガワチョウ
北海道,夕張郡由仁町,ユウバリグンユニチョウ
北海道,夕張郡長沼町,ユウバリグンナガヌマチョウ
北海道,夕張郡栗山町,ユウバリグンクリヤマチョウ
北海道,樺戸郡月形町,カバトグンツキガタチョウ
北海道,樺戸郡浦臼町,カバトグンウラウスチョウ
北海道,樺戸郡新十津川町,カバトグンシントツカワチョウ
北海道,雨竜郡妹背牛町,ウリュウグンモセウシチョウ
北海道,雨竜郡秩父別町,ウリュウグンチップベツチョウ
北海道,雨竜郡雨竜町,ウリュウグンウリュウチョウ
北海道,雨竜郡北竜町,ウリュウグンホクリュウチョウ
北海道,雨竜郡沼田町,ウリュウグンヌマタチョウ
北海道,上川郡鷹栖町,カミカワグンタカスチョウ
北海道,上川郡東神楽町,カミカワグンヒガシカグラチョウ
北海道,上川郡当麻町,カミカワグントウマチョウ
北海道,上川郡比布町,カミカワグンピップチョウ
北海道,上川郡愛別町,カミカワグンアイベツチョウ
北海道,上川郡上川町,カミカワグンカミカワチョウ
北海道,上川郡東川町,カミカワグンヒガシカワチョウ
北海道,上川郡美瑛町,カミカワグンビエイチョウ
北海道,空知郡上富良野町,ソラチグンカミフラノチョウ
北海道,空知郡中富良野町,ソラチグンナカフラノチョウ
北海道,空知郡南富良野町,ソラチグンミナミフラノチョウ
北海道,勇払郡占冠村,ユウフツグンシムカップムラ
北海道,上川郡和寒町,カミカワグンワッサムチョウ
北海道,上川郡剣淵町,カミカワグンケンブチチョウ
北海道,上川郡下川町,カミカワグンシモカワチョウ
北海道,中川郡美深町,ナカガワグンビフカチョウ
北海道,中川郡音威子府村,ナカガワグンオトイネップムラ
北海道,中川郡中川町,ナカガワグンナカガワチョウ
北海道,雨竜郡幌加内町,ウリュウグンホロカナイチョウ
北海道,増毛郡増毛町,マシケグンマシケチョウ
北海道,留萌郡小平町,ルモイグンオビラチョウ
北海道,苫前郡苫前町,トママエグントママエチョウ
北海道,苫前郡羽幌町,トママエグンハボロチョウ
北海道,苫前郡初山別村,トママエグンショサンベツムラ
北海道,天塩郡遠別町,テシオグンエンベツチョウ
北海道,天塩郡天塩町,テシオグンテシオチョウ
北海道,宗谷郡猿払村,ソウヤグンサルフツムラ
北海道,枝幸郡浜頓別町,エサシグンハマトンベツチョウ
北海道,枝幸郡中頓別町,エサシグンナカトンベツチョウ
北海道,枝幸郡枝幸町,エサシグンエサシチョウ
北海道,天塩郡豊富町,テシオグントヨトミチョウ
北海道,礼文郡礼文町,レブングンレブンチョウ
北海道,利尻郡利尻町,リシリグンリシリチョウ
北海道,利尻郡利尻富士町,リシリグンリシリフジチョウ
北海道,天塩郡幌延町,テシオグンホロノベチョウ
北海道,網走郡美幌町,アバシリグンビホロチョウ
北海道,網走郡津別町,アバシリグンツベツチョウ
北海道,斜里郡斜里町,シャリグンシャリチョウ
北海道,斜里郡清里町,シャリグンキヨサトチョウ
北海道,斜里郡小清水町,シャリグンコシミズチョウ
北海道,常呂郡訓子府町,トコログンクンネップチョウ
北海道,常呂郡置戸町,トコログンオケトチョウ
北海道,常呂郡佐呂間町,トコログンサロマチョウ
北海道,紋別郡遠軽町,モンベツグンエンガルチョウ
北海道,紋別郡湧別町,モンベツグンユウベツチョウ
北海道,紋別郡滝上町,モンベツグンタキノウエチョウ
北海道,紋別郡興部町,モンベツグンオコッペチョウ
北海道,紋別郡西興部村,モンベツグンニシオコッペムラ
北海道,紋別郡雄武町,モンベツグンオウムチョウ
北海道,網走郡大空町,アバシリグンオオゾラチョウ
北海道,虻田郡豊浦町,アブタグントヨウラチョウ
北海道,有珠郡壮瞥町,ウスグンソウベツチョウ
北海道,白老郡白老町,シラオイグンシラオイチョウ
北海道,勇払郡厚真町,ユウフツグンアツマチョウ
北海道,虻田郡洞爺湖町,アブタグントウヤコチョウ
北海道,勇払郡安平町,ユウフツグンアビラチョウ
北海道,勇払郡むかわ町,ユウフツグンムカワチョウ
北海道,沙流郡日高町,サルグンヒダカチョウ
北海道,沙流郡平取町,サルグンビラトリチョウ
北海道,新冠郡新冠町,ニイカップグンニイカップチョウ
北海道,浦河郡浦河町,ウラカワグンウラカワチョウ
北海道,様似郡様似町,サマニグンサマニチョウ
北海道,幌泉郡えりも町,ホロイズミグンエリモチョウ
北海道,日高郡新ひだか町,ヒダカグンシンヒダカチョウ
北海道,河東郡音更町,カトウグンオトフケチョウ
北海道,河東郡士幌町,カトウグンシホロチョウ
北海道,河東郡上士幌町,カトウグンカミシホロチョウ
北海道,河東郡鹿追町,カトウグンシカオイチョウ
北海道,上川郡新得町,カミカワグンシントクチョウ
北海道,上川郡清水町,カミカワグンシミズチョウ
北海道,河西郡芽室町,カサイグンメムロチョウ
北海道,河西郡中札内村,カサイグンナカサツナイムラ
北海道,河西郡更別村,カサイグンサラベツムラ
北海道,広尾郡大樹町,ヒロオグンタイキチョウ
北海道,広尾郡広尾町,ヒロオグンヒロオチョウ
北海道,中川郡幕別町,ナカガワグンマクベツチョウ
北海道,中川郡池田町,ナカガワグンイケダチョウ
北海道,中川郡豊頃町,ナカガワグントヨコロチョウ
北海道,中川郡本別町,ナカガワグンホンベツチョウ
北海道,足寄郡足寄町,アショログンアショロチョウ
北海道,足寄郡陸別町,アショログンリクベツチョウ
北海道,十勝郡浦幌町,トカチグンウラホロチョウ
北海道,釧路郡釧路町,クシログンクシロチョウ
北海道,厚岸郡厚岸町,アッケシグンアッケシチョウ
北海道,厚岸郡浜中町,アッケシグンハマナカチョウ
北海道,川上郡標茶町,カワカミグンシベチャチョウ
北海道,川上郡弟子屈町,カワカミグンテシカガチョウ
北海道,阿寒郡鶴居村,アカングンツルイムラ
北海道,白糠郡白糠町,シラヌカグンシラヌカチョウ
北海道,野付郡別海町,ノツケグンベツカイチョウ
北海道,標津郡中標津町,シベツグンナカシベツチョウ
北海道,標津郡標津町,シベツグンシベツチョウ
北海道,目梨郡羅臼町,メナシグンラウスチョウ
青森県,青森市,アオモリシ
青森県,弘前市,ヒロサキシ
青森県,八戸市,ハチノヘシ
青森県,黒石市,クロイシシ
青森県,五所川原市,ゴショガワラシ
青森県,十和田市,トワダシ
青森県,三沢市,ミサワシ
青森県,むつ市,ムツシ
青森県,つがる市,ツガルシ
青森県,平川市,ヒラカワシ
青森県,東津軽郡平内町,ヒガシツガルグンヒラナイマチ
青森県,東津軽郡今別町,ヒガシツガルグンイマベツマチ
青森県,東津軽郡蓬田村,ヒガシツガルグンヨモギタムラ
青森県,東津軽郡外ヶ浜町,ヒガシツガルグンソトガハママチ
青森県,西津軽郡鰺ヶ沢町,ニシツガルグンアジガサワマチ
青森県,西津軽郡深浦町,ニシツガルグンフカウラマチ
青森県,中津軽郡西目屋村,ナカツガルグンニシメヤムラ
青森県,南津軽郡藤崎町,ミナミツガルグンフジサキマチ
青森県,南津軽郡大鰐町,ミナミツガルグンオオワニマチ
青森県,南津軽郡田舎館村,ミナミツガルグンイナカダテムラ
青森県,北津軽郡板柳町,キタツガルグンイタヤナギマチ
青森県,北津軽郡鶴田町,キタツガルグンツルタマチ
青森県,北津軽郡中泊町,キタツガルグンナカドマリマチ
青森県,上北郡野辺地町,カミキタグンノヘジマチ
青森県,上北郡七戸町,カミキタグンシチノヘマチ
青森県,上北郡六戸町,カミキタグンロクノヘマチ
青森県,上北郡横浜町,カミキタグンヨコハママチ
青森県,上北郡東北町,カミキタグントウホクマチ
青森県,上北郡六ヶ所村,カミキタグンロッカショムラ
青森県,上北郡おいらせ町,カミキタグンオイラセチョウ
青森県,下北郡大間町,シモキタグンオオママチ
青森県,下北郡東通村,シモキタグンヒガシドオリムラ
青森県,下北郡風間浦村,シモキタグンカザマウラムラ
青森県,下北郡佐井村,シモキタグンサイムラ
青森県,三戸郡三戸町,サンノヘグンサンノヘマチ
青森県,三戸郡五戸町,サンノヘグンゴノヘマチ
青森県,三戸郡田子町,サンノヘグンタッコマチ
青森県,三戸郡南部町,サンノヘグンナンブチョウ
青森県,三戸郡階上町,サンノヘグンハシカミチョウ
青森県,三戸郡新郷村,サンノヘグンシンゴウムラ
岩手県,盛岡市,モリオカシ
岩手県,宮古市,ミヤコシ
岩手県,大船渡市,オオフナトシ
岩手県,花巻市,ハナマキシ
岩手県,北上市,キタカミシ
岩手県,久慈市,クジシ
岩手県,遠野市,トオノシ
岩手県,一関市,イチノセキシ
岩手県,陸前高田市,リクゼンタカタシ
岩手県,釜石市,カマイシシ
岩手県,二戸市,ニノヘシ
岩手県,八幡平市,ハチマンタイシ
岩手県,奥州市,オウシュウシ
岩手県,滝沢市,タキザワシ
岩手県,岩手郡雫石町,イワテグンシズクイシチョウ
岩手県,岩手郡葛巻町,イワテグンクズマキマチ
岩手県,岩手郡岩手町,イワテグンイワテマチ
岩手県,紫波郡紫波町,シワグンシワチョウ
岩手県,紫波郡矢巾町,シワグンヤハバチョウ
岩手県,和賀郡西和賀町,ワガグンニシワガマチ
岩手県,胆沢郡金ケ崎町,イサワグンカネガサキチョウ
岩手県,西磐井郡平泉町,ニシイワイグンヒライズミチョウ
岩手県,気仙郡住田町,ケセングンスミタチョウ
岩手県,上閉伊郡大槌町,カミヘイグンオオツチチョウ
岩手県,下閉伊郡山田町,シモヘイグンヤマダマチ
岩手県,下閉伊郡岩泉町,シモヘイグンイワイズミチョウ
岩手県,下閉伊郡田野畑村,シモヘイグンタノハタムラ
岩手県,下閉伊郡普代村,シモヘイグンフダイムラ
岩手県,九戸郡軽米町,クノヘグンカルマイマチ
岩手県,九戸郡野田村,クノヘグンノダムラ
岩手県,九戸郡九戸村,クノヘグンクノヘムラ
岩手県,九戸郡洋野町,クノヘグンヒロノチョウ
岩手県,二戸郡一戸町,ニノヘグンイチノヘマチ
宮城県,仙台市青葉区,センダイシアオバク
宮城県,仙台市宮城野区,センダイシミヤギノク
宮城県,仙台市若林区,センダイシワカバヤシク
宮城県,仙台市太白区,センダイシタイハクク
宮城県,仙台市泉区,センダイシイズミク
宮城県,石巻市,イシノマキシ
宮城県,塩竈市,シオガマシ
宮城県,気仙沼市,ケセンヌマシ
宮城県,白石市,シロイシシ
宮城県,名取市,ナトリシ
宮城県,角田市,カクダシ
宮城県,多賀城市,タガジョウシ
宮城県,岩沼市,イワヌマシ
宮城県,登米市,トメシ
宮城県,栗原市,クリハラシ
宮城県,東松島市,ヒガシマツシマシ
宮城県,大崎市,オオサキシ
宮城県,富谷市,トミヤシ
宮城県,刈田郡蔵王町,カッタグンザオウマチ
宮城県,刈田郡七ヶ宿町,カッタグンシチカシュクマチ
宮城県,柴田郡大河原町,シバタグンオオガワラマチ
宮城県,柴田郡村田町,シバタグンムラタマチ
宮城県,柴田郡柴田町,シバタグンシバタマチ
宮城県,柴田郡川崎町,シバタグンカワサキマチ
宮城県,伊具郡丸森町,イググンマルモリマチ
宮城県,亘理郡亘理町,ワタリグンワタリチョウ
宮城県,亘理郡山元町,ワタリグンヤマモトチョウ
宮城県,宮城郡松島町,ミヤギグンマツシママチ
宮城県,宮城郡七ヶ浜町,ミヤギグンシチガハママチ
宮城県,宮城郡利府町,ミヤギグンリフチョウ
宮城県,黒川郡大和町,クロカワグンタイワチョウ
宮城県,黒川郡大郷町,クロカワグンオオサトチョウ
宮城県,黒川郡大衡村,クロカワグンオオヒラムラ
宮城県,加美郡色麻町,カミグンシカマチョウ
宮城県,加美郡加美町,カミグンカミマチ
宮城県,遠田郡涌谷町,トオダグンワクヤチョウ
宮城県,遠田郡美里町,トオダグンミサトマチ
宮城県,牡鹿郡女川町,オシカグンオナガワチョウ
宮城県,本吉郡南三陸町,モトヨシグンミナミサンリクチョウ
秋田県,秋田市,アキタシ
秋田県,能代市,ノシロシ
秋田県,横手市,ヨコテシ
秋田県,大館市,オオダテシ
秋田県,男鹿市,オガシ
秋田県,湯沢市,ユザワシ
秋田県,鹿角市,カヅノシ
秋田県,由利本荘市,ユリホンジョウシ
秋田県,潟上市,カタガミシ
秋田県,大仙市,ダイセンシ
秋田県,北秋田市,キタアキタシ
秋田県,にかほ市,ニカホシ
秋田県,仙北市,センボクシ
秋田県,鹿角郡小坂町,カヅノグンコサカマチ
秋田県,北秋田郡上小阿仁村,キタアキタグンカミコアニムラ
秋田県,山本郡藤里町,ヤマモトグンフジサトマチ
秋田県,山本郡三種町,ヤマモトグンミタネチョウ
秋田県,山本郡八峰町,ヤマモトグンハッポウチョウ
秋田県,南秋田郡五城目町,ミナミアキタグンゴジョウメマチ
秋田県,南秋田郡八郎潟町,ミナミアキタグンハチロウガタマチ
秋田県,南秋田郡井川町,ミナミアキタグンイカワマチ
秋田県,南秋田郡大潟村,ミナミアキタグンオオガタムラ
秋田県,仙北郡美郷町,センボクグンミサトチョウ
秋田県,雄勝郡羽後町,オガチグンウゴマチ
秋田県,雄勝郡東成瀬村,オガチグンヒガシナルセムラ
山形県,山形市,ヤマガタシ
山形県,米沢市,ヨネザワシ
山形県,鶴岡市,ツルオカシ
山形県,酒田市,サカタシ
山形県,新庄市,シンジョウシ
山形県,寒河江市,サガエシ
山形県,上山市,カミノヤマシ
山形県,村山市,ムラヤマシ
山形県,長井市,ナガイシ
山形県,天童市,テンドウシ
山形県,東根市,ヒガシネシ
山形県,尾花沢市,オバナザワシ
山形県,南陽市,ナンヨウシ
山形県,東村山郡山辺町,ヒガシムラヤマグンヤマノベマチ
山形県,東村山郡中山町,ヒガシムラヤマグンナカヤママチ
山形県,西村山郡河北町,ニシムラヤマグンカホクチョウ
山形県,西村山郡西川町,ニシムラヤマグンニシカワマチ
山形県,西村山郡朝日町,ニシムラヤマグンアサヒマチ
山形県,西村山郡大江町,ニシムラヤマグンオオエマチ
山形県,北村山郡大石田町,キタムラヤマグンオオイシダマチ
山形県,最上郡金山町,モガミグンカネヤママチ
山形県,最上郡最上町,モガミグンモガミマチ
山形県,最上郡舟形町,モガミグンフナガタマチ
山形県,最上郡真室川町,モガミグンマムロガワマチ
山形県,最上郡大蔵村,モガミグンオオクラムラ
山形県,最上郡鮭川村,モガミグンサケガワムラ
山形県,最上郡戸沢村,モガミグントザワムラ
山形県,東置賜郡高畠町,ヒガシオキタマグンタカハタマチ
山形県,東置賜郡川西町,ヒガシオキタマグンカワニシマチ
山形県,西置賜郡小国町,ニシオキタマグンオグニマチ
山形県,西置賜郡白鷹町,ニシオキタマグンシラタカマチ
山形県,西置賜郡飯豊町,ニシオキタマグンイイデマチ
山形県,東田川郡三川町,ヒガシタガワグンミカワマチ
山形県,東田川郡庄内町,ヒガシタガワグンショウナイマチ
山形県,飽海郡遊佐町,アクミグンユザマチ
福島県,福島市,フクシマシ
福島県,会津若松市,アイヅワカマツシ
福島県,郡山市,コオリヤマシ
福島県,いわき市,イワキシ
福島県,白河市,シラカワシ
福島県,須賀川市,スカガワシ
福島県,喜多方市,キタカタシ
福島県,相馬市,ソウマシ
福島県,二本松市,ニホンマツシ
福島県,田村市,タムラシ
福島県,南相馬市,ミナミソウマシ
福島県,伊達市,ダテシ
福島県,本宮市,モトミヤシ
福島県,伊達郡桑折町,ダテグンコオリマチ
福島県,伊達郡国見町,ダテグンクニミマチ
福島県,伊達郡川俣町,ダテグンカワマタマチ
福島県,安達郡大玉村,アダチグンオオタマムラ
福島県,岩瀬郡鏡石町,イワセグンカガミイシマチ
福島県,岩瀬郡天栄村,イワセグンテンエイムラ
福島県,南会津郡下郷町,ミナミアイヅグンシモゴウマチ
福島県,南会津郡檜枝岐村,ミナミアイヅグンヒノエマタムラ
福島県,南会津郡只見町,ミナミアイヅグンタダミマチ
福島県,南会津郡南会津町,ミナミアイヅグンミナミアイヅマチ
福島県,耶麻郡北塩原村,ヤマグンキタシオバラムラ
福島県,耶麻郡西会津町,ヤマグンニシアイヅマチ
福島県,耶麻郡磐梯町,ヤマグンバンダイマチ
福島県,耶麻郡猪苗代町,ヤマグンイナワシロマチ
福島県,河沼郡会津坂下町,カワヌマグンアイヅバンゲマチ
福島県,河沼郡湯川村,カワヌマグンユガワムラ
福島県,河沼郡柳津町,カワヌマグンヤナイヅマチ
福島県,大沼郡三島町,オオヌマグンミシママチ
福島県,大沼郡金山町,オオヌマグンカネヤママチ
福島県,大沼郡昭和村,オオヌマグンショウワムラ
福島県,大沼郡会津美里町,オオヌマグンアイヅミサトマチ
福島県,西白河郡西郷村,ニシシラカワグンニシゴウムラ
福島県,西白河郡泉崎村,ニシシラカワグンイズミザキムラ
福島県,西白河郡中島村,ニシシラカワグンナカジマムラ
福島県,西白河郡矢吹町,ニシシラカワグンヤブキマチ
福島県,東白川郡棚倉町,ヒガシシラカワグンタナグラマチ
福島県,東白川郡矢祭町,ヒガシシラカワグンヤマツリマチ
福島県,東白川郡塙町,ヒガシシラカワグンハナワマチ
福島県,東白川郡鮫川村,ヒガシシラカワグンサメガワムラ
福島県,石川郡石川町,イシカワグンイシカワマチ
福島県,石川郡玉川村,イシカワグンタマカワムラ
福島県,石川郡平田村,イシカワグンヒラタムラ
福島県,石川郡浅川町,イシカワグンアサカワマチ
福島県,石川郡古殿町,イシカワグンフルドノマチ
福島県,田村郡三春町,タムラグンミハルマチ
福島県,田村郡小野町,タムラグンオノマチ
福島県,双葉郡広野町,フタバグンヒロノマチ
福島県,双葉郡楢葉町,フタバグンナラハマチ
福島県,双葉郡富岡町,フタバグントミオカマチ
福島県,双葉郡川内村,フタバグンカワウチムラ
福島県,双葉郡大熊町,フタバグンオオクママチ
福島県,双葉郡双葉町,フタバグンフタバマチ
福島県,双葉郡浪江町,フタバグンナミエマチ
福島県,双葉郡葛尾村,フタバグンカツラオムラ
福島県,相馬郡新地町,ソウマグンシンチマチ
福島県,相馬郡飯舘村,ソウマグンイイタテムラ
茨城県,水戸市,ミトシ
茨城県,日立市,ヒタチシ
茨城県,土浦市,ツチウラシ
茨城県,古河市,コガシ
茨城県,石岡市,イシオカシ
茨城県,結城市,ユウキシ
茨城県,龍ケ崎市,リュウガサキシ
茨城県,下妻市,シモツマシ
茨城県,常総市,ジョウソウシ
茨城県,常陸太田市,ヒタチオオタシ
茨城県,高萩市,タカハギシ
茨城県,北茨城市,キタイバラキシ
茨城県,笠間市,カサマシ
茨城県,取手市,トリデシ
茨城県,牛久市,ウシクシ
